title,author,rating,voters,price,currency,description,publisher,page_count,language,published_date,genre,ISBN_13
Editing The Soul,Everett Hamner,,,,,"Personal Genome Testing, Gene Editing For Life-Threatening Diseases, Synthetic Life: Once The Stuff Of Science Fiction, Twentieth- And Twenty-First-Century Advancements Blur The Lines Between Scientific Narrative And Scientific Fact. This Examination Of Bioengineering In Popular And Literary Culture Shows That The Influence Of Science On Science Fiction Is More Reciprocal Than We Might Expect. Looking Closely At The Work Of Margaret Atwood, Richard Powers, And Other Authors, As Well As At Film, Comics, And Serial Television Such As Orphan Black, Everett Hamner Shows How The Genome Age Is Transforming Both The Most Commercial And The Most Sophisticated Stories We Tell About The Core Of Human Personhood. As Sublime Technologies Garner Public Awareness Beyond The Genre Fiction Shelves, They Inspire New Literary Categories Like “Slipstream” And Shape New Definitions Of The Human, The Animal, The Natural, And The Artificial. In Turn, What We Learn Of Bioengineering Via Popular And Literary Culture Prepares The Way For Its Official Adoption Or Restriction—And For Additional Representations. By Imagining The Connections Between Emergent Gene Testing And Editing Capacities And Long-Standing Conversations About Freedom And Determinism, These Stories Help Build A Cultural Zeitgeist With A Sharper, More Balanced Vision Of Predisposed Agency. A Compelling Exploration Of The Interrelationships Among Science, Popular Culture, And Self, Editing The Soul Sheds Vital Light On What The Genome Age Means To Us, And What’S To Come.",Penn State Press,281.0,English,2017-09-28,Science Fiction,9780271080543
Fantastic Voyages,"Leroy W. Dubeck', 'Suzanne E. Moshier', 'Judith E. Boss",,,,,"By Revealing The Facts Behind The Fiction Of Some Of The Finest Films In The Sci-Fi Genre, ""Fantastic Voyages"" Offers A Novel Approach To Teaching Science: Using Scenes From Science Fiction Films To Illustrate Fundamental Concepts Of Physics, Astronomy, And Biology.",Springer Science & Business Media,348.0,English,2006-05-31,Science Fiction,9780387215884
H. G. Wells,Herbert George Wells,,,,,"Includes The First Serialized Version Of The Time Machine, Short Stories From Wells' Student Days At South Kensington, And Essays From The 1890'S That Speculate On The Future",Univ Of California Press,268.0,English,1975-01-01,Science Fiction,9780520026797
Ten Years Later,Alexandre Dumas,,,,,,Readhowyouwant.Com,506.0,English,2008-12-11,History,9781427065582
Empire Of The Summer Moon,S. C. Gwynne,4.0,64.0,,,"*Finalist For The Pulitzer Prize And The National Book Critics Circle Award* *A New York Times Notable Book* *Winner Of The Texas Book Award And The Oklahoma Book Award* This New York Times Bestseller And Stunning Historical Account Of The Forty-Year Battle Between Comanche Indians And White Settlers For Control Of The American West “Is Nothing Short Of A Revelation…Will Leave Dust And Blood On Your Jeans” (The New York Times Book Review). Empire Of The Summer Moon Spans Two Astonishing Stories. The First Traces The Rise And Fall Of The Comanches, The Most Powerful Indian Tribe In American History. The Second Entails One Of The Most Remarkable Narratives Ever To Come Out Of The Old West: The Epic Saga Of The Pioneer Woman Cynthia Ann Parker And Her Mixed-Blood Son Quanah, Who Became The Last And Greatest Chief Of The Comanches. Although Readers May Be More Familiar With The Tribal Names Apache And Sioux, It Was In Fact The Legendary Fighting Ability Of The Comanches That Determined When The American West Opened Up. Comanche Boys Became Adept Bareback Riders By Age Six; Full Comanche Braves Were Considered The Best Horsemen Who Ever Rode. They Were So Masterful At War And So Skillful With Their Arrows And Lances That They Stopped The Northern Drive Of Colonial Spain From Mexico And Halted The French Expansion Westward From Louisiana. White Settlers Arriving In Texas From The Eastern United States Were Surprised To Find The Frontier Being Rolled Backward By Comanches Incensed By The Invasion Of Their Tribal Lands. The War With The Comanches Lasted Four Decades, In Effect Holding Up The Development Of The New American Nation. Gwynne’S Exhilarating Account Delivers A Sweeping Narrative That Encompasses Spanish Colonialism, The Civil War, The Destruction Of The Buffalo Herds, And The Arrival Of The Railroads, And The Amazing Story Of Cynthia Ann Parker And Her Son Quanah—A Historical Feast For Anyone Interested In How The United States Came Into Being. Hailed By Critics, S. C. Gwynne’S Account Of These Events Is Meticulously Researched, Intellectually Provocative, And, Above All, Thrillingly Told. Empire Of The Summer Moon Announces Him As A Major New Writer Of American History.",Simon And Schuster,394.0,English,2010-05-25,History,9781416597155
Gandhi'S Assassin,Dhirendra Jha,,,,,"The Life Of Nathuram Godse, The Man Who Shot Gandhi Dhirendra Jha'S Deeply Researched History Places Nathuram Godse'S Life As The Juncture Of The Dangerous Fault Lines In Contemporary India: The Quest For Independence And The Rise Of Hindu Nationalism. On A Wintry Delhi Evening On 30 January 1948, Nathuram Godse Shot Gandhi At Point-Blank Range, Forever Silencing The Man Who Had Delivered Independence To His Nation. Godse’S Journey To This Moment Of International Notoriety From Small Towns In Western India Is, By Turns, Both Riveting And Wrenching. Drawing From Previously Unpublished Archival Material, Jha Challenges The Standard Account Of Gandhi’S Assassination, And Offers A Stunning View On The Making Of Independent India. Born To Brahmin Parents, Godse Started Off As A Child Mystic. However, Success Eluded Him. The Caste System Placed Him At The Top Of Society But The Turbulent Times Meant That He Soon Became A Disaffected Youth, Desperately Seeking A Position In The Infant Nation. In Such Confusing Times, Godse Was One Of Hundreds, And Later Thousands, Of Young Indian Men To Be Steered Into The Sheltering Fold Of Early Hindutva, Indian Nationalism. His Association With Early Formations Of The Rss And Far-Right Thinkers Such As Sarvakar Proves That He Was Not Working Alone. Today He Is Considered To Be A Patriotic Hero By Many For His Act Of Bravery, Despite Being Found Guilty In Court And Executed In 1949.",Verso Books,353.0,English,2023-01-24,History,9781804292976
Hunting Eichmann,Neal Bascomb,4.0,21.0,,,"With The Intrigue Of A Detective Story, ""Hunting Eichmann"" Follows The Nazi As He Escapes Two American Pow Camps, Hides In The Mountains, And Builds An Anonymous Life In Buenos Aires, Before Finally Being Captured And Brought To Trial.",Houghton Mifflin Harcourt,410.0,English,2009,History,9780618858675
The Great Transformation,Karl Polanyi,,,,,"In This Classic Work Of Economic History And Social Theory, Karl Polanyi Analyzes The Economic And Social Changes Brought About By The ""Great Transformation"" Of The Industrial Revolution. His Analysis Explains Not Only The Deficiencies Of The Self-Regulating Market, But The Potentially Dire Social Consequences Of Untempered Market Capitalism. New Introductory Material Reveals The Renewed Importance Of Polanyi'S Seminal Analysis In An Era Of Globalization And Free Trade.",Beacon Press,360.0,English,2001-03-28,History,9780807056424
The Rise And Fall Of Opec In The Twentieth Century,Giuliano Garavini,,,,,"The Most Comprehensive History Of The Organization Of The Petroleum Exporting Countries (Opec) And Of Its Members, This Study Takes The Reader From The Formation Of The First Petrostate In The World, Venezuela, In The Late 1920S, To The Global Ascent Of Petrostates And Opec During The 1970S, To Their Crisis In The Late-1980S And Early- 1990S.","Oxford University Press, Usa",445.0,English,2019,History,9780198832836
God And Reason In The Middle Ages,"Edward Grant', 'Professor Emeritus Edward Grant",3.0,2.0,,,"Between 1100 And 1600, The Emphasis On Reason In The Learning And Intellectual Life Of Western Europe Became More Pervasive And Widespread Than Ever Before In The History Of Human Civilization. Of Crucial Significance Was The Invention Of The University Around 1200, Within Which Reason Was Institutionalized And Where It Became A Deeply Embedded, Permanent Feature Of Western Thought And Culture. It Is Therefore Appropriate To Speak Of An Age Of Reason In The Middle Ages, And To View It As A Forerunner And Herald Of The Age Of Reason That Was To Come In The Seventeenth Century. The Object Of This Study Is Twofold: To Describe How Reason Was Manifested In The Curriculum Of Medieval Universities, Especially In The Subjects Of Logic, Natural Philosophy And Theology; And To Explain How The Middle Ages Acquired An Undeserved Reputation As An Age Of Superstition, Barbarism, And Unreason.",Cambridge University Press,412.0,English,2001-07-30,History,9780521003377
Tibet,Sam Van Schaik,,,,,"Presents A Comprehensive History Of The Country, From Its Beginnings In The Seventh Century, To Its Rise As A Buddhist Empire In Medieval Times, To Its Conquest By China In 1950, And Subsequent Rule By The Chinese.",Yale University Press,350.0,English,2011-06-28,History,9780300154047
The Discarded Image,C. S. Lewis,4.5,10.0,,,"Hailed As ""The Final Memorial To The Work Of A Great Scholar And Teacher And A Wise And Noble Mind,"" This Work Paints A Lucid Picture Of The Medieval World View, As Historical And Cultural Background To The Literature Of The Middle Ages And Renaissance.",Cambridge University Press,248.0,English,1994-08-26,History,9780521477352
The Romance Of Leonardo Da Vinci: The Forerunner,Dmitry Sergeyevich Merezhkovsky,5.0,1.0,,,,Library Of Alexandria,463.0,English,1902,Biography,9781465591975
The Narrative Study Of Lives,"Amia Lieblich', 'Ruthellen Josselson",,,,,"The Narrative Approach Is A Relevant And Enriching Technique For Uncovering, Describing And Interpreting The Meaning Of Experience. This Collection Explores The Challenges Of Performing Narrative Work In An Academic Setting, Writing About It In An Ethical And Revealing Fashion, And Drawing Meaningful Conclusions. This Stellar Collection Of Scholars Examine Such Topics As: How The Larger Construct Of `Personality' Can Read Out Of A Life Story; The Development Of Multicultural Identity As A Dynamic Process; The Transition Away From Delinquent Behaviour; The Importance Of Cultural Continuity For Understanding Loneliness In Elderly Refugees; Race Relations And How It Relates To The Meaning Of The Decade In Which The Interviewee",Sage,269.0,English,1997-05-31,Biography,9780761903253
Einstein,Walter Isaacson,4.0,13.0,,,"From Isaacson, The Bestselling Author Of ""Benjamin Franklin,"" Comes The First Full Biography Of Albert Einstein Since All His Papers Have Become Available--A Fully Realized Portrait Of A Premier Icon Of His Era.",Simon And Schuster,704.0,English,2017-04-11,Biography,9781501171383
Beria,Amy Knight,2.0,3.0,,,"This Is The Biography Of Lavrentii Beria, Stalin'S Notorious Police Chief And For Many Years His Most Powerful Lieutenant. Beria Has Long Symbolized The Evils Of Stalinism, Yet Because His Political Opponents Removed His Name From Public Memory After His Execution In 1953, Little Is Known Of Him.",Princeton University Press,344.0,English,1993,Biography,9780691010939
What Are The Gospels?,Richard A. Burridge,,,,,"""The Publication Of Richard Burridge'S What Are The Gospels? In 1992 Inaugurated A Transformation In Gospel Studies By Overturning The Previous Consensus About Gospel Uniqueness. Burridge Argued Convincingly For An Understanding Of The Gospels As Biographies, A Ubiquitous Genre In The Graeco-Roman World. To Establish This Claim, Burridge Compared Each Of The Four Canonical Gospels To The Many Extant Graeco-Roman Biographies. Drawing On Insights From Literary Theory, He Demonstrated That The Previously Widespread View Of The Gospels As Unique Compositions Was False. Burridge Went On To Discuss What A Properly ""Biographical"" Perspective Might Mean For Gospel Interpretation, Which Was Amply Demonstrated In The Revised Second Edition Reflecting On How His View Had Become The New Consensus. This Third, Twenty-Fifth Anniversary Edition Not Only Celebrates The Continuing Influence Of What Are The Gospels?, But Also Features A Major New Contribution In Which Burridge Analyzes Recent Debates And Scholarship About The Gospels. Burridge Both Answers His Critics And Reflects Upon The New Directions Now Being Taken By Those Who Accept The Biographical Approach. This New Edition Also Features As An Appendix A Significant Article In Which He Tackles The Related Problem Of The Genre Of Acts. A Proven Book With Lasting Staying Power, What Are The Gospels? Is Not Only Still As Relevant And Instructive As It Was When First Published, But Will Also Doubtlessly Inspire New Research And Scholarship In The Years Ahead.""-- Provided By Publisher.",Wm. B. Eerdmans Publishing,384.0,English,2004-08-09,Biography,9780802809711
Empowerment Of Women Through Self Help Groups,G. Sreeramulu,,,,,"The Book Is An In-Depth Study Of Empowerment Of Women Through Self Help Groups. It Covers The Problems And Perspectives Of Self Help Groups And Suggest Several Measures. The Study Has Evaluated The Implementation Of Several Schemes In Anantapur District In Particular And In Andhra Pradesh In General Such As Rearing Goats, Dairying, Petty Business Activities, Making Of Soft Toys And So On. The Findings Are Very Much Encouraging, Such As Women Are Now Managing Their Families, Panchayat Raj Institutions, Are Able To Concentrate On Their Children S Education And Health. Contents Include: Introduction, Public Policy Theoretical Perspectives, Evaluation, Aims And Objectctives Of Self Help Groups In Anantapur District, Socio-Economic Background Of The Sample Study, Problems And Perspectives Of Self Help Groups, Performance Of Self Help Groups And Conclusion. This Outstanding Text-Cum-Reference Book Will Be Of Great Use To Scholars, Administrators, Planners, Policy-Makers, Statesmen And Students Of Political Science, Economics, Sociology, Commerce And Women Studites.",Gyan Books,334.0,English,2006,Self-Help,9788178355016
Optimizing The Self,Ole Jacob Madsen,,,,,"This Book Provides An Analysis Of The Social Representations Of Leading Self-Help Genres, Including Neurolinguistic Programming, Cognitive Self-Help Therapy, Mindfulness, Self-Management, Self-Esteem, Self-Leadership And Self-Control. Exploring The Globalised Therapeutic Culture Of Today, The Book Argues That Psychology As 'Science' Is Often Abandoned To Aid The Individual Pursuit For Self-Realization And Self-Optimization. Opposing The View That Self-Help Culture Is External To Psychology, Madsen Argues That It Is Firmly Embedded Within Psychology, Playing An Important Role In People'S Lives. Each Chapter Traces And Critically Interprets A Range Of Self-Help Philosophies And Techniques, Examining The Claims Of Self-Help Literature To Represent The Most Innovative Psychological, Medical Or Neurobiological Research. Discussing Each Genre In Turn, Chapters Examine Key Research Alongside Self-Help Literature To Explore The Effectiveness And Impact Of Leading Self-Help Genres In Various Social Contexts And Environments. The Book Offers A Contemporary Critical Overview Of Issues Concerning Self-Help, Combining Critical Psychology With The Theory Of Social Representation To Provide A Broad Perspective On Self-Help As A Valid Psychology. Optimizing The Self Will Be Of Interest To Academics, Researchers And Postgraduate Students In The Fields Of Social Representation, Critical And Cultural Psychology And Theory, Clinical Psychology, And The Sociology Of Culture And Science. The Book Will Also Be Of Use To Critical And Cultural Psychologists And Theorists, As Well As Clinical Psychologists.",Routledge,0.0,English,2017-02-07,Self-Help,9781138712959
How To Stop Reading Self-Help Books,Scott A. Cherry,,,,,"A World Full Of Self-Help Books And We Still Need Help. One Self-Help Book Followed By Another, Like Cars Rolling Off An Assembly Line. And So The Cycle Of Reading Continues. We'Ve Become Addicted To Self-Help Books. What'S Gone Wrong? As We Grab The Next Self-Help Book, Barely Having Finished The Last, We'Ve Assumed The Genre Reflects And Satisfies Our Need For Self-Fulfilment. And Yet, It'S Always Playing Catch-Up. I Examine How The Self-Help Genre Is Embedded In A Dominant Ideological Current Running Through Ever-Increasing Parts Of Our Culture. The Individual Is The Site Where All The Fixing Work Takes Place. Single Answers. Easy Fixes. Single Individuals. Through Detailed Analysis Of The Mundane Practices Of Everyday Life, I Show That There Is Another Ideology, Operating In Tandem But Concealed Because Of Its 'Mundaneness', Through Which We'Re Finding Ourselves. What We Crave Is To Engage In The Shared Production Of Our Lives. We Want To Be Like Other People. The Self-Help Book Genre Is Preventing Us From Being Genuine Individuals. We Must Place The Individual Back In The Social. I Pursue This Analysis Using Critical Thinking; I Recommend That You Follow My Lead.",Createspace,62.0,English,2012-04-01,Self-Help,9781475223309
Dual-Process Theories In Moral Psychology,Cordula Brand,5.0,1.0,,,"This Anthology Offers A Unique Collection Of Contributions Focusing On The Discussion About The So-Called Dual-Process Theories Within The Field Of Moral Psychology. In General, Dual-Process Theories State That In Cognitive Systems, Two Sorts Of Processes Can Be Differentiated: An Affective, Associative Process And An Analytical, Rule-Based Process. This Distinction Recently Entered The Debate On The Relationship Between Intuitive And Rational Approaches To Explaining The Phenomenon Of Moral Judgment. The Increasing Interest In These Theories Raises Questions Concerning Their General Impact On Social Contexts. The Anthology Aims At Presenting Stepping-Stones Of An Analysis Of The Merits And Drawbacks Of This Development. For That Purpose, The Authors Discuss General Questions Concerning The Relationship Between Ethics And Empirical Sciences, Methodological Questions, Reassessments Of Established Terminology And Societal Implications Of Dual-Process Theories In Moral Psychology.",Springer,419.0,English,2016-03-21,Self-Help,9783658120535
"Oh, The Plans He Has For You!",Katy Newton Naas,,,,,101 Devotions For Youthget To Know God And Who You Are In His Eyes,Books By Katy Newton Naas,212.0,English,2018-05,Self-Help,9780998937571
Living In The True Heart,Sherry Xiujin Lu,,,,,,,246.0,English,2011,Self-Help,9789868198753
Revisiting The Use Of Self,Deena Mandell,,,,,"In Recent Years, Several Developments Have Stimulated New Ways Of Thinking About The Social Worker'S ""Self"" Or ""Selves?"" In All Aspects Of Practice. The Focus On Practice With Diverse Populations And The Emphasis Of ?Anti-Oppressive? Practice Have Highlighted Elements Of The Worker'S Relationship To Their Clients. The Objective Of This Book Is Threefold: 1. To Explore The Adequacy Of The Concept ?Use Of Self? For Clinical Practice. 2. To Provide Grounded Accounts Of Practitioner'S Use Of Self In Critical Practice Approaches. 3. To Broaden The Scope Of The Concept Of Critical Use Of Self To Fields Of Service Where It Is Under-Theorized, For Example, Community Work, Addictions, And Corrections.",Canadian Scholars’ Press,254.0,English,2007,Self-Help,9781551303345
Self Help,Fred Mercado,,,,,"This Book Contains Proven Steps And Strategies On How To Identify Which Ways Your Ego Is Harming You In Life, And Take Control Back. We Will Go Over Multiple Areas Of Your Life That Could Use Improvement And Simple, Easy To Understand Ways To Fix Them. Many People Are Going Through Life Struggling Unnecessarily, All Because They Don'T Realize What The Ego Is, How To Recognize It, And How To Get It Under Control.",Createspace Independent Publishing Platform,76.0,English,2016-06-21,Self-Help,9781534775947
Liberation In The Face Of Uncertainty,Hubert J. M. Hermans,,,,,"This Book Uses Dialogical Self Theory To Respond To The Challenges Of Climate Change, Well-Being, And Disenchantment Of The World.",Cambridge University Press,349.0,English,2022-01-13,Self-Help,9781108844406
Paradise Regained,John Milton,,,,,"A Companion To The Epic Poem Paradise Lost, John Milton'S Paradise Regained Describes The Temptation Of Christ. After Adam And Eve Are Expelled From The Garden Of Eden, Satan And The Fallen Angels Stay On Earth To Lead People Astray. But When God Sends Jesus, The Promised Savior, To Earth, Satan Prepares Himself For Battle. As An Adult, Jesus Goes Into The Wilderness To Gain Strength And Courage. He Fasts For 40 Days And Nights, After Which Satan Tempts Him With Food, Power, And Riches. But Jesus Refuses All These Things, And Satan Is Defeated By The Glory Of God. This Is An Unabridged Version Of Milton'S Classic Work, Which Was First Published In England In 1671.",First Avenue Editions ™,70.0,English,2014-08-01,Poetry,9781467775977
